#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=798 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:114 out:114 type:P dur:2 cpbdur:2 q:45.83 aq:40.52 tex:10534 mv:8789 misc:5405 imb:849 pmb:594 smb:6717 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:45.80 aq:40.60 tex:11075 mv:8572 misc:5161 imb:818 pmb:584 smb:6758 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:45.78 aq:40.34 tex:10248 mv:8897 misc:5303 imb:799 pmb:614 smb:6747 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:45.75 aq:40.25 tex:11813 mv:8649 misc:5122 imb:796 pmb:595 smb:6769 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:45.73 aq:39.64 tex:13874 mv:9351 misc:5487 imb:920 pmb:621 smb:6619 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:45.72 aq:39.65 tex:14903 mv:9765 misc:5444 imb:830 pmb:720 smb:6610 d:- ref:0 ;
in:121 out:120 type:P dur:2 cpbdur:2 q:45.70 aq:39.39 tex:16394 mv:10070 misc:5512 imb:899 pmb:695 smb:6566 d:- ref:0 w:0,1,-1 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:45.71 aq:46.02 tex:121 mv:1010 misc:1101 imb:3 pmb:151 smb:8006 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:45.66 aq:39.58 tex:19482 mv:10000 misc:5318 imb:894 pmb:739 smb:6527 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:45.68 aq:42.73 tex:814 mv:2797 misc:1821 imb:30 pmb:326 smb:7804 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:45.69 aq:46.98 tex:182 mv:1184 misc:1074 imb:2 pmb:149 smb:8009 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:45.67 aq:48.00 tex:144 mv:853 misc:947 imb:2 pmb:107 smb:8051 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:45.60 aq:39.62 tex:19164 mv:9837 misc:5511 imb:857 pmb:736 smb:6567 d:- ref:0 w:0,1,1 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:45.63 aq:41.63 tex:484 mv:2449 misc:1683 imb:24 pmb:286 smb:7850 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:45.65 aq:46.22 tex:102 mv:614 misc:804 imb:2 pmb:74 smb:8084 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:45.61 aq:45.36 tex:127 mv:250 misc:615 imb:1 pmb:35 smb:8124 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:45.61 aq:39.44 tex:18685 mv:11218 misc:5905 imb:854 pmb:902 smb:6404 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:45.60 aq:40.59 tex:219 mv:1105 misc:1140 imb:12 pmb:147 smb:8001 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:45.60 aq:48.53 tex:64 mv:52 misc:444 imb:2 pmb:5 smb:8153 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:45.61 aq:48.75 tex:25 mv:6 misc:401 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:45.56 aq:39.54 tex:11158 mv:5726 misc:4212 imb:379 pmb:637 smb:7144 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:45.58 aq:44.79 tex:88 mv:93 misc:475 imb:2 pmb:9 smb:8149 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:45.60 aq:46.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:45.57 aq:46.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:45.20 aq:38.56 tex:13957 mv:8327 misc:4620 imb:377 pmb:894 smb:6889 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:45.38 aq:42.22 tex:174 mv:401 misc:713 imb:2 pmb:51 smb:8107 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:45.47 aq:46.00 tex:0 mv:28 misc:404 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:45.29 aq:47.68 tex:37 mv:9 misc:410 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:44.80 aq:38.21 tex:13975 mv:10539 misc:5478 imb:521 pmb:996 smb:6643 d:- ref:0 ;
